return_id,sku,category,reason_code,days_since_purchase,item_condition,order_value,customer_return_count,proof_of_purchase,decision
R1024,EL-PHONE-01,Electronics,not_as_described,56,good_condition,1596.81,0,yes,approve_refund
R1025,HM-CHAIR-02,Home,not_as_described,87,unworn_tags_attached,227.98,0,yes,approve_store_credit
R1026,AP-JACKET-01,Apparel,wrong_item,16,unworn_tags_attached,248.41,2,yes,approve_refund
R1027,EL-LAPTOP-02,Electronics,defective,22,opened_box,1801.62,0,yes,approve_refund
R1028,HM-CHAIR-02,Home,changed_mind,68,opened_box,255.79,1,yes,deny
R1029,FW-SNEAK-01,Footwear,changed_mind,14,unworn_tags_attached,384.38,1,yes,approve_store_credit
R1030,HM-FRAME-05,Home,damaged_in_shipping,41,damaged,769.19,0,yes,approve_refund
R1031,EL-WATCH-05,Electronics,not_as_described,111,worn,1531.46,3,yes,deny
R1032,EL-TABLET-03,Electronics,damaged_in_shipping,11,damaged,2368.33,1,yes,approve_refund
R1033,FW-SANDAL-03,Footwear,not_as_described,21,worn,224.46,0,yes,approve_store_credit
R1034,EL-TABLET-03,Electronics,changed_mind,80,damaged,3486.12,0,yes,deny
R1035,FW-SANDAL-03,Footwear,changed_mind,5,worn,277.46,0,yes,deny
R1036,EL-LAPTOP-02,Electronics,not_as_described,105,damaged,1186.95,1,no,deny
R1037,AP-JEANS-03,Apparel,wrong_size,57,unworn_tags_attached,118.95,0,yes,deny
R1038,FW-HEEL-04,Footwear,not_as_described,17,damaged,338.15,3,yes,approve_refund
R1039,AP-COAT-05,Apparel,wrong_size,1,unworn_tags_attached,335.7,0,yes,approve_refund
R1040,EL-LAPTOP-02,Electronics,defective,114,worn,1999.45,2,yes,deny
R1041,HM-LAMP-01,Home,defective,11,good_condition,316.14,3,no,deny
R1042,AP-DRESS-04,Apparel,defective,44,worn,349.12,0,yes,approve_repair
R1043,FW-HEEL-04,Footwear,defective,11,worn,538.52,0,yes,approve_repair
R1044,FW-BOOT-02,Footwear,changed_mind,11,unworn_tags_attached,284.1,0,yes,approve_refund
R1045,HM-KETTLE-03,Home,changed_mind,79,worn,208.42,1,yes,deny
R1046,EL-PHONE-01,Electronics,changed_mind,45,damaged,1517.94,4,yes,deny
R1047,EL-HEADPH-04,Electronics,changed_mind,23,damaged,3375.36,0,yes,deny
R1048,AP-COAT-05,Apparel,not_as_described,51,good_condition,245.38,4,yes,deny
R1049,FW-SANDAL-03,Footwear,changed_mind,3,opened_box,89.86,3,yes,approve_store_credit
R1050,HM-FRAME-05,Home,not_as_described,85,damaged,277.58,2,yes,approve_store_credit
R1051,AP-SUIT-06,Apparel,not_as_described,27,good_condition,230.08,0,yes,approve_store_credit
R1052,HM-KETTLE-03,Home,not_as_described,45,damaged,471.52,0,yes,approve_store_credit
R1053,FW-BOOT-02,Footwear,wrong_item,38,damaged,422.9,0,yes,deny
R1054,HM-CHAIR-02,Home,not_as_described,44,unworn_tags_attached,254.68,1,yes,approve_refund
R1055,AP-COAT-05,Apparel,defective,52,worn,115.31,0,no,deny
R1056,EL-LAPTOP-02,Electronics,wrong_item,54,damaged,840.64,1,yes,approve_refund
R1057,FW-SNEAK-01,Footwear,not_as_described,1,unworn_tags_attached,485.99,0,yes,approve_store_credit
R1058,FW-SLIPPER-05,Footwear,wrong_size,30,unworn_tags_attached,429.46,4,yes,approve_refund
R1059,HM-CHAIR-02,Home,damaged_in_shipping,115,damaged,604.18,0,yes,deny
R1060,AP-JEANS-03,Apparel,damaged_in_shipping,32,damaged,172.57,0,yes,approve_refund
R1061,AP-SHIRT-02,Apparel,changed_mind,58,damaged,85.26,0,yes,deny
R1062,FW-SLIPPER-05,Footwear,wrong_size,27,unworn_tags_attached,326.62,0,yes,approve_refund
R1063,EL-HEADPH-04,Electronics,damaged_in_shipping,49,damaged,218.46,0,yes,approve_refund
R1064,FW-HEEL-04,Footwear,wrong_item,15,good_condition,311.28,0,yes,approve_refund
R1065,FW-SNEAK-01,Footwear,wrong_item,9,damaged,361.4,3,yes,approve_refund
R1066,EL-LAPTOP-02,Electronics,not_as_described,55,worn,3059.61,0,yes,approve_store_credit
R1067,HM-BEDSET-04,Home,changed_mind,87,opened_box,250.48,4,yes,approve_store_credit
R1068,EL-PHONE-01,Electronics,not_as_described,70,unworn_tags_attached,3498.7,0,yes,approve_refund
R1069,FW-HEEL-04,Footwear,defective,2,damaged,166.71,0,yes,approve_refund
R1070,AP-SHIRT-02,Apparel,changed_mind,11,damaged,322.26,1,yes,deny
R1071,AP-JACKET-01,Apparel,wrong_size,38,unworn_tags_attached,308.11,3,yes,approve_exchange
R1072,FW-SANDAL-03,Footwear,wrong_size,20,unworn_tags_attached,495.08,1,yes,approve_refund
R1073,EL-HEADPH-04,Electronics,damaged_in_shipping,83,damaged,240.75,0,yes,approve_refund
R1074,AP-SUIT-06,Apparel,not_as_described,58,opened_box,367.29,0,yes,deny
R1075,AP-COAT-05,Apparel,damaged_in_shipping,52,damaged,397.59,0,yes,deny
R1076,AP-SHIRT-02,Apparel,changed_mind,55,worn,422.83,0,no,deny
R1077,HM-CHAIR-02,Home,damaged_in_shipping,98,damaged,60.81,2,yes,approve_refund
R1078,AP-COAT-05,Apparel,changed_mind,22,good_condition,445.14,1,yes,approve_store_credit
R1079,FW-HEEL-04,Footwear,wrong_size,16,unworn_tags_attached,475.66,1,yes,approve_refund
R1080,EL-WATCH-05,Electronics,changed_mind,29,opened_box,2481.9,0,yes,deny
R1081,AP-JEANS-03,Apparel,wrong_item,48,damaged,197.86,1,yes,deny
R1082,FW-HEEL-04,Footwear,wrong_size,13,good_condition,362.29,2,yes,approve_exchange
R1083,AP-SHIRT-02,Apparel,not_as_described,38,damaged,317.56,4,yes,approve_store_credit
R1084,AP-COAT-05,Apparel,defective,20,unworn_tags_attached,367.61,0,yes,approve_refund
R1085,AP-DRESS-04,Apparel,not_as_described,9,opened_box,95.16,0,yes,approve_store_credit
R1086,AP-DRESS-04,Apparel,defective,4,good_condition,472.48,0,yes,approve_repair
R1087,EL-PHONE-01,Electronics,damaged_in_shipping,81,damaged,699.7,2,no,approve_refund
R1088,FW-HEEL-04,Footwear,wrong_size,36,unworn_tags_attached,492.28,0,yes,deny
R1089,HM-LAMP-01,Home,changed_mind,110,good_condition,471.16,0,no,deny
R1090,FW-BOOT-02,Footwear,not_as_described,14,good_condition,425.82,0,yes,approve_refund
R1091,EL-TABLET-03,Electronics,wrong_item,58,damaged,1749.71,0,yes,approve_refund
R1092,HM-BEDSET-04,Home,not_as_described,60,good_condition,637.75,1,yes,approve_refund
R1093,EL-LAPTOP-02,Electronics,damaged_in_shipping,29,damaged,3196.76,2,yes,approve_refund
R1094,AP-JEANS-03,Apparel,damaged_in_shipping,48,damaged,463.54,0,yes,deny
R1095,HM-BEDSET-04,Home,changed_mind,129,damaged,414.28,0,yes,deny
R1096,AP-COAT-05,Apparel,damaged_in_shipping,17,damaged,90.1,4,yes,approve_refund
R1097,EL-WATCH-05,Electronics,not_as_described,106,good_condition,2100.62,2,yes,deny
R1098,HM-BEDSET-04,Home,changed_mind,47,damaged,370.27,2,no,deny
R1099,AP-SUIT-06,Apparel,wrong_item,22,good_condition,350.56,2,yes,approve_refund
R1100,HM-LAMP-01,Home,changed_mind,103,damaged,66.89,0,yes,deny
